book_id	author	title
0684818701	Maria D. Guarnaschelli	The New Joy of Cooking
0684856093	Stephen Covey	The 7 Habits of Highly Effective People
0684869519	Wendy Orange	Coming Home To Jerusalem: A Personal Journey
0688069711	Gary Selden	The Body Electric: Electromagnetism and the Foundation of Life
0688127371	James A. Peterson	Fish and Shellfish
0688160999	Janine M. Benyus	Biomimicry: Innovation Inspired by Nature
0688161995	Chris Schlesinger	How to Cook Meat
0688163165	Dennis Lehane	Mystic River
0689813813	Patricia Mullins	One Horse Waiting for Me
0689829418	Preiss-Glasser	Totally the Messiest
0689829531	Ian Falconer	Olivia
0689836015	E. L. Konigsburg	Silent to the Bone
0716736381	Niles Eldredge	The Triumph of Evolution...And the Failure of Creationism
0737800033	John H. Johnson	Every Wall a Ladder
0738201960	Christopher Wills	The Spark of Life: Darwin and the Primeval Soup
0738204374	Steven M. Wise	Rattling the Cage: Toward Legal Rights for Animals
0743202104	Irma S. Rombauer, Ethan Becker, Marion Becker	Joy of Cooking Soups and Stews
0743215052	John Le Carre	The Constant Gardener
0750650869	David Howe	Data Analysis for Database Design
0760049254	Philip Pratt	The Concepts of Database
0761117199	Ann Byin, Anthony Loew	The Cake Mix Doctor
0764547161	Tim Converse, Joyce Park	PHP4 Bible
0767903854	Bill Bryson	In a Sunburned Country
0789305003	Los Angeles County Museum of Art	California Pop-Up Book
0789404257	Various	Eyewitness Travel Guides: Italy
0792393651	Jonalthan H. Connell, Sridhar Mahadevan (Editor)	Robot Learning
0805057579	Thomas A. Bass	The Predictors
0805317554	Ramez Elmasri, Shamkant Navathe	Fundamentals of Database Systems, 6th Edition
0807825859	Ann Hawthorne	Not Afraid of Flavor
0809299674	Adrian Wood	The Second World War in Color
0810936852	Peter H. Hassrick	The Georgia O'Keeffe Museum
0810961695	Edward Steichen	The Family of Man
0811213668	W. G. Sebald, Michael Hulse	The Emigrants
0811716937	Jerry Predika	The Sausage Making Cookbook
0811826848	The Beatles	The Beatles Anthology
0812093119	Martin Sternstein	Statistics
0812520610	Brian Lumley 	Blood Brothers
0812520629	Brian Lumley 	The Last Aerie
0813527406	Iris Fry	The Emergence of Life on Earth: A Historical and Scientific Overview
0821762559	Quinn Taylor Evans	Daughter of Camelot
0838479022	Elizabeth Byleen	Looking Ahead
0849323754	Hooman H. Rashidi	Bioinformatics Basics Applications in Biological Science and Medicine
0850668093	Mansour Rahimi (Editor), Waldemar Karwowski (Editor)	Human-Robot Interaction
0864426429	Kim Grant	Lonely Planet Boston
0870212850	Tom Clancy 	The Hunt For Red October
0874779758	Robert Zubrin	Entering Space
0882664778	Charles G. Reavis	Home Sausage Making
0887251714	Jim Cottrell	Skiing Everyone
0910146691	Allen De Hart	North Carolina Hiking Trails
0911625291	Steve Eckols	IMS for the Cobol Programmer
0911625453	Doug Lowe	VSAM for the Cobol Programmer
0911625593	Steve Eckols	DB2 for the Cobol Programmer
0911625607	Doug Lowe	CICS for the Cobol Programmer
0911625852	Doug Lowe	MVS JCL for the Cobol Programmer
0932813739	David Hatcher Childress	Technology of the Gods: The Incredible Sciences of the Ancients
0935039031	Michael Brown	Streetwise Manhattan
0935112510	Clarke, Greg	Golf Rules Illustrated
0936184388	Carl Tremblay	The Best Recipe
0961470151	Mark Levine	The Jazz Piano Book
0961549890	Lenore W. Horowitz	Kauai Underground Guide
0962477060	Bill Edwards	Fretboard Logic SE: Volumes Combined
0966625307	Toni Polancy	So You Want to Live in Hawaii
0967174805	Carl R. Sam, Jean Stoick	Stranger in the Woods
0967697603	Mercedes Lee	Seafood Lovers Almanac
1552047210	James Herriot	James Herriot's Favorite Dog Stories
1557044287	Ridley Scott	Gladiator
1565922840	Randal Schwartz, Tom Christiansen, Larry Wall	Learning Perl
1565926099	David Blank-Edelman	Perl for System Administration
1565926269	Steven Roman	Access Database Design And Programming
1565927699	Rasmus Lerdorf	PHP Pocket Reference
1566912296	Rick Steves	Rick Steve's Italy 2001
1573225312	Chang-Rae Lee	Native Speaker
1576572862	Nancy Parent	The Little Green Fish
1576573842	Nancy Parent	Santa's Workshop
1581950098	Kurt Johnson, Steven L. Coates	Nabokovs Blues: The Scientific Odyssey of a Literary Genius
1584500492	DeLoura, Mark	Game Programming Gems
1586480103	Andy Rooney, Tom Brokaw	My War
1861003730	Chris Lea, Wankyu Choi, Allan Kent, Ganesh Prasad, Chris Ullman	Beginning PHP4
